Id,LocName,Address,District,City,ZipCode,Latitude,Longitude,State,AvailableTime,AvailableTimeByte
5aa573ac-9749-4b44-96d9-45c011271bff,"{ List : [{ Value :  FamilyMart DL New Zhongxing Store , Lang :  en-US },{ Value :  全家斗六新中興店站 , Lang :  zh-TW }]}","{ List : [{ Value :  No. 30, Zhongxing Rd., Douliu City, Yunlin County 640 , Lang :  en-US },{ Value :  雲林縣斗六市中興路30號(近中興路/北環路口) , Lang :  zh-TW }]}","{ List : [{ Value :  Yunlin County , Lang :  en-US },{ Value :  斗六市 , Lang :  zh-TW }]}","{ List :[{ Value : Yunlin County , Lang : en-US },{ Value : 雲林縣 , Lang : zh-TW }]}",64071,23.723612,120.581761,1,24HR,
24d2d276-80fb-44ff-83af-49003d3527ec,"{ List : [{ Value :  CPC Erlun GS , Lang :  en-US },{ Value :  中油二崙加油站 , Lang :  zh-TW }]}","{ List : [{ Value :  No. 102, Sec. 1, Zhongshan Rd., Erlun Township, Yunlin County , Lang :  en-US },{ Value :  雲林縣二崙鄉中山路一段102號(近中山路一段/中山路一段100巷口) , Lang :  zh-TW }]}","{ List : [{ Value :  Erlun Township , Lang :  en-US },{ Value :  二崙鄉 , Lang :  zh-TW }]}","{ List :[{ Value : Yunlin County , Lang : en-US },{ Value : 雲林縣 , Lang : zh-TW }]}",64941,23.773694,120.417315,1,24HR,
7d5915e0-c312-4c5d-98f0-49448f23c7cd,"{ List : [{ Value :  CPC Taixi GS , Lang :  en-US },{ Value :  中油台西加油站 , Lang :  zh-TW }]}","{ List : [{ Value :  No.36, Zhongshan Rd., Taixi Township, Yunlin County , Lang :  en-US },{ Value :  雲林縣台西鄉中山路36號(近中山路/文化路口) , Lang :  zh-TW }]}","{ List : [{ Value :  Taixi Township , Lang :  en-US },{ Value :  台西鄉 , Lang :  zh-TW }]}","{ List :[{ Value : Yunlin County , Lang : en-US },{ Value : 雲林縣 , Lang : zh-TW }]}",63654,23.698962,120.202715,1,24HR,
cc7c84a5-f7ce-412e-8ca8-52c2fa4277e6,"{ List : [{ Value :  Carrefour Douliu Store , Lang :  en-US },{ Value :  家樂福斗六店站 , Lang :  zh-TW }]}","{ List : [{ Value :  No.297, Sec. 2, Yunlin Rd., Douliu City, Yunlin County , Lang :  en-US },{ Value :  雲林縣斗六市雲林路二段297號(近雲林縣政府) , Lang :  zh-TW }]}","{ List : [{ Value :  Douliu City , Lang :  en-US },{ Value :  斗六市 , Lang :  zh-TW }]}","{ List :[{ Value : Yunlin County , Lang : en-US },{ Value : 雲林縣 , Lang : zh-TW }]}",64041,23.702237,120.530646,1,24HR,
10e4ebb6-6428-47ae-85df-6266dabca45f,"{ List : [{ Value :  CPC Yihe GS , Lang :  en-US },{ Value :  中油義和加油站 , Lang :  zh-TW }]}","{ List : [{ Value :  No.37-5, Sanhe, Citong Township, Yunlin County , Lang :  en-US },{ Value :  雲林縣莿桐鄉三和37-5號(近埤源派出所) , Lang :  zh-TW }]}","{ List : [{ Value :  Citong Township , Lang :  en-US },{ Value :  莿桐鄉 , Lang :  zh-TW }]}","{ List :[{ Value : Yunlin County , Lang : en-US },{ Value : 雲林縣 , Lang : zh-TW }]}",64747,23.775305,120.478746,1,24HR,
3e742441-cd80-419f-923b-637ddb26dc30,"{ List : [{ Value :  CPC Huwei Xinsheng Rd. GS , Lang :  en-US },{ Value :  中油虎尾新生路加油站 , Lang :  zh-TW }]}","{ List : [{ Value :  No.155, Xinsheng Rd., Huwei Township, Yunlin County , Lang :  en-US },{ Value :  雲林縣虎尾鎮新生路155號(近新生路/新興路口) , Lang :  zh-TW }]}","{ List : [{ Value :  Huwei Town , Lang :  en-US },{ Value :  虎尾鎮 , Lang :  zh-TW }]}","{ List :[{ Value : Yunlin County , Lang : en-US },{ Value : 雲林縣 , Lang : zh-TW }]}",63241,23.707167,120.436238,1,24HR,
20839915-f8ce-48ba-9b30-6dad16baf33e,"{ List : [{ Value :  CPC Gukeng GS , Lang :  en-US },{ Value :  中油古坑加油站 , Lang :  zh-TW }]}","{ List : [{ Value :  No.291, Zhongshan Rd., Gukeng Township, Yunlin County , Lang :  en-US },{ Value :  雲林縣古坑鄉中山路291號(近中山路/中山路243巷口) , Lang :  zh-TW }]}","{ List : [{ Value :  Gukeng Township , Lang :  en-US },{ Value :  古坑鄉 , Lang :  zh-TW }]}","{ List :[{ Value : Yunlin County , Lang : en-US },{ Value : 雲林縣 , Lang : zh-TW }]}",64650,23.65044,120.560197,1,24HR,
766c02fe-2556-4d5a-ae40-6fa8a07de439,"{ List : [{ Value :  Pxmart DL Xiping Store , Lang :  en-US },{ Value :  全聯斗六西平店站 , Lang :  zh-TW }]}","{ List : [{ Value :  No.248, Xiping Rd., Douliu City, YunlinCounty , Lang :  en-US },{ Value :  雲林縣斗六市西平路248號(近台電雲林區營業處) , Lang :  zh-TW }]}","{ List : [{ Value :  Douliu City , Lang :  en-US },{ Value :  斗六市 , Lang :  zh-TW }]}","{ List :[{ Value : Yunlin County , Lang : en-US },{ Value : 雲林縣 , Lang : zh-TW }]}",64049,23.712018,120.535376,1,24HR,
9aebcaf8-4416-4735-9f88-79acf059b9c1,"{ List : [{ Value :  CPC Yahu GS , Lang :  en-US },{ Value :  中油雅虎加油站 , Lang :  zh-TW }]}","{ List : [{ Value :  No.776, Xiping Rd., Douliu City, Yunlin County , Lang :  en-US },{ Value :  雲林縣斗六市西平路776號(近西平路/雲科路三段口) , Lang :  zh-TW }]}","{ List : [{ Value :  Douliu City , Lang :  en-US },{ Value :  斗六市 , Lang :  zh-TW }]}","{ List :[{ Value : Yunlin County , Lang : en-US },{ Value : 雲林縣 , Lang : zh-TW }]}",64057,23.726775,120.523841,1,24HR,
5fd41ebc-d4fd-4a54-974e-88539d6d4753,"{ List : [{ Value :  THSR Yunlin Station , Lang :  en-US },{ Value :  台灣高鐵雲林站 , Lang :  zh-TW }]}","{ List : [{ Value :  Dalong Rd., Huwei Township, Yunlin County 632 , Lang :  en-US },{ Value :  雲林縣虎尾鎮大隆路(近大隆路/永興路口) , Lang :  zh-TW }]}","{ List : [{ Value :  Huwei Township , Lang :  en-US },{ Value :  虎尾鎮 , Lang :  zh-TW }]}","{ List :[{ Value : Yunlin County , Lang : en-US },{ Value : 雲林縣 , Lang : zh-TW }]}",63247,23.734516,120.415533,100,24HR,
